percent_education_of_gdp,country_name,duration
4.05887,Afghanistan,3.8
3.61172,Albania,10
3.21709,Andorra,10.2
5.46223,Argentina,9.9
2.70759,Armenia,11.7
5.12425,Australia,12.9
5.35804,Austria,12.1
2.47382,Azerbaijan,10.7
2.32781,Bahrain,9.4
4.36638,Barbados,10.6
4.79499,Belarus,12.3
6.41228,Belgium,11.8
7.50989,Belize,10.5
3.53559,Benin,3.6
7.22574,Bhutan,3.1
6.32255,Brazil,7.8
4.0925,Bulgaria,11.8
5.60347,"Burkina Faso",1.5
4.76202,Burundi,3
3.15482,Cameroon,6.3
5.18175,"Cape Verde",6.1
2.45482,Chad,2.3
5.41946,Chile,10.3
4.53551,Colombia,8.3
5.46505,Congo,6.3
7.31572,"Costa Rica",8.8
3.80348,"Cote d'Ivoire",5.2
3.91713,Croatia,11.3
5.77719,Cyprus,12.1
3.85402,Czechia,12.7
1.45495,"Democratic Republic of Congo",6.8
7.81608,Denmark,12.6
3.74856,Djibouti,4.1
3.72523,"El Salvador",6.9
4.97338,Estonia,12.7
6.37621,Finland,12.4
5.4516,France,11.5
3.57443,Georgia,12.8
4.90512,Germany,14.1
3.61798,Ghana,7.1
3.1738,Grenada,8.7
2.95182,Guatemala,6.5
2.31765,Guinea,2.6
6.23007,Guyana,8.4
2.68945,Haiti,5.3
3.3101,"Hong Kong",12
4.6671,Hungary,11.9
7.65822,Iceland,12.4
3.7904,Iran,9.8
3.50686,Ireland,12.5
6.09262,Israel,13
4.04494,Italy,10.2
5.26062,Jamaica,9.8
3.18218,Japan,12.8
3.28405,Jordan,10.4
2.75082,Kazakhstan,11.8
5.36668,Kenya,6.5
5.36668,Kenya,7.9
6.02619,Kyrgyzstan,10.9
4.39712,Latvia,12.8
7.96332,Lesotho,6.3
2.76128,Liberia,4.7
3.81283,Lithuania,13
3.56959,Luxembourg,12.1
4.03133,Malawi,4.5
4.67757,Malaysia,10.2
3.78731,Mali,2.3
4.82438,Malta,11.3
5.02313,Mauritius,9.3
4.52282,Mexico,8.6
5.61844,Moldova,11.6
4.08859,Mongolia,10.1
5.50556,Mozambique,3.5
2.08768,Myanmar,4.9
5.51837,Nepal,4.9
5.1751,Netherlands,12.2
6.28367,"New Zealand",12.5
4.35768,Nicaragua,6.7
2.58165,Niger,2
7.91198,Norway,12.6
2.89952,Pakistan,5.2
1.96493,"Papua New Guinea",4.6
3.93131,Peru,9.2
4.55957,Poland,12.3
5.01561,Portugal,9.2
2.86383,Qatar,9.8
3.09539,Romania,11
4.68991,Russia,12
3.11083,Rwanda,4.1
5.73196,"Saint Vincent and the Grenadines",8.6
5.08416,"Sao Tome and Principe",6.3
4.62497,Senegal,3
3.71509,Serbia,11.1
4.63577,"Sierra Leone",3.5
3.93913,Slovakia,12.5
4.78324,Slovenia,12.2
6.11306,"South Africa",10.1
4.20774,Spain,9.8
2.79925,"Sri Lanka",10.9
7.56883,Sweden,12.4
5.13019,Switzerland,13.4
4.43051,Tanzania,5.8
7.06049,Timor,4.5
4.98976,Togo,4.8
2.27205,Uganda,6.1
5.41226,Ukraine,11.3
5.44209,"United Kingdom",12.9
4.8403,Uruguay,8.7
5.28134,Uzbekistan,11.5
4.53353,Vanuatu,6.8
3.72965,Zambia,7
5.81878,Zimbabwe,8.2
